attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,Result,Home Team Pre-Match xG,Away Team Pre-Match xG
40558,Chelsea,Leicester City,Lee Probert,18,2.33,1.22,2.21,1.32,0,1,1,1.71,1.35
22394,Huddersfield Town,Southampton,Stuart Attwell,18,0.56,0.44,0.47,0.84,1,3,1,1.27,1.41
54340,Manchester City,Crystal Palace,Andre Marriner,18,3.00,0.78,2.84,1.53,2,3,1,2.23,1.22
51237,Newcastle United,Fulham,Martin Atkinson,18,0.67,0.11,1.32,0.26,0,0,2,1.26,1.03
56833,West Ham United,Watford,Lee Mason,18,1.44,1.13,1.63,1.21,0,2,1,1.48,1.31
33028,Cardiff City,Manchester United,Michael Oliver,18,1.44,1.22,1.05,1.58,1,5,1,1.45,1.28
39319,Everton,Tottenham Hotspur,Paul Tierney,18,2.00,2.40,1.79,1.74,2,6,1,1.63,1.33
24382,Fulham,Wolverhampton Wanderers,Andre Marriner,19,1.00,1.38,1.11,1.21,1,1,2,1.67,1.59
21484,Burnley,Everton,Michael Oliver,19,0.88,0.75,1.21,1.05,1,5,1,1.14,1.27
25206,Crystal Palace,Cardiff City,Lee Probert,19,1.00,0.13,1.05,0.74,0,0,2,1.57,1.02
32090,Leicester City,Manchester City,Mike Dean,19,1.38,2.13,1.42,2.32,2,1,0,1.48,1.66
53318,Liverpool,Newcastle United,Graham Scott,19,2.75,1.25,2.79,1.05,4,0,0,1.93,1.10
74523,Manchester United,Huddersfield Town,Jonathan Moss,19,1.88,0.63,1.89,0.37,3,1,0,1.82,1.28
45154,Tottenham Hotspur,AFC Bournemouth,Chris Kavanagh,19,2.14,1.13,2.00,0.84,5,0,0,1.68,1.33
30608,Brighton & Hove Albion,Arsenal,Anthony Taylor,19,1.75,1.75,1.21,1.32,1,1,2,1.15,1.48
20415,Watford,Chelsea,Martin Atkinson,19,1.67,2.00,1.42,1.58,1,2,1,1.40,1.55
31654,Southampton,West Ham United,Craig Pawson,19,1.00,1.38,1.21,1.11,1,2,1,1.53,1.23
30597,Brighton & Hove Albion,Everton,Andy Madley,20,1.67,1.00,1.21,1.05,1,0,0,1.18,1.29
24423,Fulham,Huddersfield Town,Kevin Friend,20,1.00,0.56,1.11,0.37,1,0,0,1.63,1.26
32047,Leicester City,Cardiff City,Simon Hooper,20,1.56,0.22,1.42,0.74,0,1,1,1.45,1.04
46356,Tottenham Hotspur,Wolverhampton Wanderers,Stuart Attwell,20,2.25,1.33,2.00,1.21,1,3,1,1.65,1.61
20336,Watford,Newcastle United,Roger East,20,1.50,1.11,1.42,1.05,1,1,2,1.38,1.07
53326,Liverpool,Arsenal,Michael Oliver,20,2.78,1.67,2.79,1.32,5,1,0,1.94,1.44
25781,Crystal Palace,Chelsea,Craig Pawson,20,1.00,2.11,1.05,1.58,0,1,1,1.64,1.54
20933,Burnley,West Ham United,David Coote,20,0.78,1.56,1.21,1.11,2,0,0,1.18,1.27
31381,Southampton,Manchester City,Paul Tierney,20,0.89,1.89,1.21,2.32,1,3,1,1.50,1.66
74556,Manchester United,AFC Bournemouth,Lee Mason,20,2.00,1.00,1.89,0.84,4,1,0,1.83,1.34
39052,Everton,Leicester City,Martin Atkinson,21,1.80,1.40,1.79,1.32,0,1,1,1.60,1.32
59887,Arsenal,Fulham,Graham Scott,21,2.30,0.20,2.37,0.26,4,1,0,1.54,0.99
32485,Cardiff City,Tottenham Hotspur,Kevin Friend,21,1.30,2.45,1.05,1.74,0,3,1,1.42,1.38
40668,Chelsea,Southampton,Jonathan Moss,21,2.10,0.70,2.21,0.84,0,0,2,1.74,1.42
23715,Huddersfield Town,Burnley,Mike Dean,21,0.50,0.50,0.47,0.89,1,2,1,1.29,0.83
59870,West Ham United,Brighton & Hove Albion,Chris Kavanagh,21,1.30,0.70,1.63,0.68,2,2,2,1.52,0.98
30666,Wolverhampton Wanderers,Crystal Palace,Roger East,21,1.40,1.00,1.79,1.53,0,2,1,1.36,1.18
10261,AFC Bournemouth,Watford,David Coote,21,1.70,1.33,1.53,1.21,3,3,2,1.30,1.30
52217,Newcastle United,Manchester United,Andre Marriner,21,0.70,1.40,1.32,1.58,0,2,1,1.22,1.34
54511,Manchester City,Liverpool,Anthony Taylor,21,2.70,2.60,2.84,2.32,2,1,0,2.23,1.57
59946,West Ham United,Arsenal,Jonathan Moss,22,1.27,1.50,1.63,1.32,1,0,0,1.53,1.39
30862,Brighton & Hove Albion,Liverpool,Kevin Friend,22,1.80,2.36,1.21,2.32,0,1,1,1.17,1.54
19316,Burnley,Fulham,Martin Atkinson,22,1.00,0.18,1.21,0.26,2,1,0,1.24,1.01
30725,Cardiff City,Huddersfield Town,Lee Mason,22,1.18,0.50,1.05,0.37,0,0,2,1.37,1.25
25010,Crystal Palace,Watford,Paul Tierney,22,0.90,1.30,1.05,1.21,1,2,1,1.52,1.29
31491,Leicester City,Southampton,Michael Oliver,22,1.40,0.73,1.42,0.84,1,2,1,1.47,1.38
40491,Chelsea,Newcastle United,Chris Kavanagh,22,2.00,1.10,2.21,1.05,2,1,0,1.73,1.06
38113,Everton,AFC Bournemouth,Anthony Taylor,22,1.64,0.90,1.79,0.84,2,0,0,1.59,1.30
80062,Tottenham Hotspur,Manchester United,Mike Dean,22,2.00,1.55,2.00,1.58,0,1,1,1.60,1.38
54171,Manchester City,Wolverhampton Wanderers,Craig Pawson,22,2.73,1.50,2.84,1.21,3,0,0,2.15,1.58
31278,Wolverhampton Wanderers,Leicester City,Chris Kavanagh,23,1.27,1.55,1.79,1.32,4,3,0,1.32,1.31
10495,AFC Bournemouth,West Ham United,Simon Hooper,23,1.64,1.40,1.53,1.11,2,0,0,1.41,1.26
53171,Liverpool,Crystal Palace,Jonathan Moss,23,2.80,1.18,2.79,1.53,4,3,0,1.94,1.21
74532,Manchester United,Brighton & Hove Albion,Paul Tierney,23,2.10,0.73,1.89,0.68,2,1,0,1.81,1.02
49864,Newcastle United,Cardiff City,Stuart Attwell,23,0.64,0.50,1.32,0.74,3,0,0,1.23,1.06
29989,Southampton,Everton,Graham Scott,23,0.80,0.90,1.21,1.05,2,1,0,1.44,1.31
19510,Watford,Burnley,Michael Oliver,23,1.45,0.73,1.42,0.89,0,0,2,1.39,0.94
59979,Arsenal,Chelsea,Anthony Taylor,23,2.36,2.20,2.37,1.58,2,0,0,1.59,1.54
24190,Huddersfield Town,Manchester City,Andre Marriner,23,0.45,2.00,0.47,2.32,0,3,1,1.25,1.67
24807,Fulham,Tottenham Hotspur,Craig Pawson,23,1.20,2.50,1.11,1.74,1,2,1,1.63,1.37
59933,Arsenal,Cardiff City,Mike Dean,24,2.42,0.45,2.37,0.74,2,1,0,1.60,1.05
22008,Fulham,Brighton & Hove Albion,Lee Probert,24,1.09,0.67,1.11,0.68,4,2,0,1.59,1.02
23699,Huddersfield Town,Everton,Stuart Attwell,24,0.42,0.82,0.47,1.05,0,1,1,1.22,1.27
31122,Wolverhampton Wanderers,West Ham United,David Coote,24,1.42,1.27,1.79,1.11,3,0,0,1.34,1.25
74529,Manchester United,Burnley,Jonathan Moss,24,2.18,0.75,1.89,0.89,2,2,2,1.80,0.98
50861,Newcastle United,Manchester City,Paul Tierney,24,0.83,2.09,1.32,2.32,2,1,0,1.26,1.64
10227,AFC Bournemouth,Chelsea,Roger East,24,1.75,2.00,1.53,1.58,4,0,0,1.41,1.54
28339,Southampton,Crystal Palace,Andre Marriner,24,1.00,1.08,1.21,1.53,1,1,2,1.42,1.18
