attendance,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,result,Home Team Pre-Match xG,Away Team Pre-Match xG,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win
29497,17,0.71,2.00,1.21,1.32,3,2,0,1.56,1.50,10.28,4.28,4.30,3.95,1.80
52908,17,2.71,1.38,2.79,1.58,3,1,0,1.78,1.34,11.13,3.88,1.56,4.15,6.35
31358,18,1.56,2.56,1.79,2.32,0,2,1,1.37,1.56,10.78,3.00,6.75,4.10,1.54
59493,18,2.22,0.56,2.37,0.89,3,1,0,1.57,0.82,9.00,4.22,1.21,6.85,15.25
10491,18,1.56,0.78,1.53,0.68,2,0,0,1.29,0.94,9.34,4.33,1.95,3.55,4.10
40558,18,2.33,1.22,2.21,1.32,0,1,1,1.71,1.35,10.22,2.89,1.34,5.15,9.50
22394,18,0.56,0.44,0.47,0.84,1,3,1,1.27,1.41,9.67,3.22,2.90,3.00,2.75
54340,18,3.00,0.78,2.84,1.53,2,3,1,2.23,1.22,11.00,2.67,1.14,8.75,20.75
51237,18,0.67,0.11,1.32,0.26,0,0,2,1.26,1.03,9.55,3.45,2.05,3.40,3.75
56833,18,1.44,1.13,1.63,1.21,0,2,1,1.48,1.31,12.32,3.91,2.35,3.45,3.00
33028,18,1.44,1.22,1.05,1.58,1,5,1,1.45,1.28,10.00,4.67,6.35,4.15,1.56
39319,18,2.00,2.40,1.79,1.74,2,6,1,1.63,1.33,11.92,2.69,3.20,3.50,2.25
24382,19,1.00,1.38,1.11,1.21,1,1,2,1.67,1.59,11.25,3.88,2.95,3.10,2.65
21484,19,0.88,0.75,1.21,1.05,1,5,1,1.14,1.27,8.26,4.00,4.20,3.55,1.91
25206,19,1.00,0.13,1.05,0.74,0,0,2,1.57,1.02,10.25,2.88,1.67,3.75,6.25
32090,19,1.38,2.13,1.42,2.32,2,1,0,1.48,1.66,13.00,4.01,9.50,5.55,1.32
53318,19,2.75,1.25,2.79,1.05,4,0,0,1.93,1.10,10.13,2.76,1.17,7.75,18.00
74523,19,1.88,0.63,1.89,0.37,3,1,0,1.82,1.28,11.00,4.00,1.33,5.80,9.75
45154,19,2.14,1.13,2.00,0.84,5,0,0,1.68,1.33,11.45,1.84,1.34,5.35,9.00
30608,19,1.75,1.75,1.21,1.32,1,1,2,1.15,1.48,8.63,4.26,5.50,3.85,1.67
20415,19,1.67,2.00,1.42,1.58,1,2,1,1.40,1.55,10.94,3.53,5.25,3.95,1.67
31654,19,1.00,1.38,1.21,1.11,1,2,1,1.53,1.23,9.25,5.13,2.25,3.35,3.30
30597,20,1.67,1.00,1.21,1.05,1,0,0,1.18,1.29,9.11,5.00,3.35,3.15,2.35
24423,20,1.00,0.56,1.11,0.37,1,0,0,1.63,1.26,9.44,4.00,2.00,3.20,4.25
32047,20,1.56,0.22,1.42,0.74,0,1,1,1.45,1.04,7.56,4.00,1.53,3.90,7.50
46356,20,2.25,1.33,2.00,1.21,1,3,1,1.65,1.61,10.14,2.77,1.49,4.20,7.50
20336,20,1.50,1.11,1.42,1.05,1,1,2,1.38,1.07,8.31,3.37,1.69,3.80,5.50
53326,20,2.78,1.67,2.79,1.32,5,1,0,1.94,1.44,12.33,2.34,1.39,5.15,7.75
25781,20,1.00,2.11,1.05,1.58,0,1,1,1.64,1.54,13.11,3.00,5.00,3.75,1.74
20933,20,0.78,1.56,1.21,1.11,2,0,0,1.18,1.27,7.56,4.00,3.85,3.35,2.05
31381,20,0.89,1.89,1.21,2.32,1,3,1,1.50,1.66,13.22,4.23,11.50,6.30,1.25
74556,20,2.00,1.00,1.89,0.84,4,1,0,1.83,1.34,12.23,2.78,1.43,5.30,7.00
39052,21,1.80,1.40,1.79,1.32,0,1,1,1.60,1.32,12.40,2.40,2.00,3.45,4.00
59887,21,2.30,0.20,2.37,0.26,4,1,0,1.54,0.99,8.60,4.00,1.35,5.30,8.75
32485,21,1.30,2.45,1.05,1.74,0,3,1,1.42,1.38,9.46,3.72,8.50,4.85,1.39
40668,21,2.10,0.70,2.21,0.84,0,0,2,1.74,1.42,9.70,3.20,1.28,6.05,12.00
23715,21,0.50,0.50,0.47,0.89,1,2,1,1.29,0.83,7.60,3.70,2.30,3.10,3.55
59870,21,1.30,0.70,1.63,0.68,2,2,2,1.52,0.98,10.70,3.80,2.00,3.55,3.95
30666,21,1.40,1.00,1.79,1.53,0,2,1,1.36,1.18,7.90,3.90,2.30,3.15,3.60
10261,21,1.70,1.33,1.53,1.21,3,3,2,1.30,1.30,11.27,4.51,2.65,3.50,2.70
52217,21,0.70,1.40,1.32,1.58,0,2,1,1.22,1.34,11.40,4.20,5.55,4.15,1.65
54511,21,2.70,2.60,2.84,2.32,2,1,0,2.23,1.57,14.10,1.60,2.00,3.85,3.90
59946,22,1.27,1.50,1.63,1.32,1,0,0,1.53,1.39,11.17,3.33,3.55,3.85,2.05
30862,22,1.80,2.36,1.21,2.32,0,1,1,1.17,1.54,9.84,3.48,10.25,5.10,1.36
19316,22,1.00,0.18,1.21,0.26,2,1,0,1.24,1.01,6.52,3.43,2.40,3.30,3.20
30725,22,1.18,0.50,1.05,0.37,0,0,2,1.37,1.25,9.09,3.82,2.20,3.20,3.80
25010,22,0.90,1.30,1.05,1.21,1,2,1,1.52,1.29,12.60,3.60,2.35,3.35,3.25
31491,22,1.40,0.73,1.42,0.84,1,2,1,1.47,1.38,9.85,4.30,1.95,3.40,4.50
40491,22,2.00,1.10,2.21,1.05,2,1,0,1.73,1.06,8.49,2.88,1.21,6.80,17.50
38113,22,1.64,0.90,1.79,0.84,2,0,0,1.59,1.30,12.24,2.00,1.71,4.05,5.00
80062,22,2.00,1.55,2.00,1.58,0,1,1,1.60,1.38,10.06,3.66,2.10,3.50,3.80
54171,22,2.73,1.50,2.84,1.21,3,0,0,2.15,1.58,12.55,2.72,1.18,7.75,18.25
31278,23,1.27,1.55,1.79,1.32,4,3,0,1.32,1.31,10.19,3.37,2.30,3.15,3.55
10495,23,1.64,1.40,1.53,1.11,2,0,0,1.41,1.26,9.55,4.67,2.15,3.55,3.45
53171,23,2.80,1.18,2.79,1.53,4,3,0,1.94,1.21,10.82,2.98,1.22,6.85,15.75
74532,23,2.10,0.73,1.89,0.68,2,1,0,1.81,1.02,10.30,3.72,1.42,5.05,8.25
49864,23,0.64,0.50,1.32,0.74,3,0,0,1.23,1.06,8.81,3.05,2.10,3.15,4.25
29989,23,0.80,0.90,1.21,1.05,2,1,0,1.44,1.31,10.30,5.10,2.85,3.35,2.60
19510,23,1.45,0.73,1.42,0.89,0,0,2,1.39,0.94,7.64,4.28,1.65,4.00,5.70
59979,23,2.36,2.20,2.37,1.58,2,0,0,1.59,1.54,11.20,3.50,3.20,3.55,2.30
24190,23,0.45,2.00,0.47,2.32,0,3,1,1.25,1.67,12.81,3.25,22.00,8.25,1.15
24807,23,1.20,2.50,1.11,1.74,1,2,1,1.63,1.37,9.45,3.67,5.65,3.80,1.71
59933,24,2.42,0.45,2.37,0.74,2,1,0,1.60,1.05,9.47,3.28,1.23,6.90,14.25
22008,24,1.09,0.67,1.11,0.68,4,2,0,1.59,1.02,9.44,3.67,2.45,3.20,3.10
23699,24,0.42,0.82,0.47,1.05,0,1,1,1.22,1.27,9.85,3.77,3.85,3.25,2.15
31122,24,1.42,1.27,1.79,1.11,3,0,0,1.34,1.25,8.58,4.19,2.05,3.50,3.90
74529,24,2.18,0.75,1.89,0.89,2,2,2,1.80,0.98,9.27,4.40,1.31,5.95,10.00
50861,24,0.83,2.09,1.32,2.32,2,1,0,1.26,1.64,13.55,3.24,16.25,7.75,1.19
10227,24,1.75,2.00,1.53,1.58,4,0,0,1.41,1.54,10.44,3.63,5.35,4.15,1.67
28339,24,1.00,1.08,1.21,1.53,1,1,2,1.42,1.18,9.02,4.72,2.45,3.30,3.05
53092,24,2.82,1.42,2.79,1.32,1,1,2,1.99,1.35,13.01,2.58,1.25,6.55,12.00
29164,24,1.80,1.45,2.00,1.21,2,1,0,1.68,1.30,10.95,3.55,1.67,3.90,5.60
41219,25,1.91,1.00,2.00,1.05,1,0,0,1.67,1.06,9.37,2.64,1.43,4.55,9.00
30414,25,1.64,1.33,1.21,1.21,0,0,2,1.12,1.26,9.42,4.67,2.50,3.30,3.00
19787,25,1.18,0.92,1.21,0.84,1,1,2,1.20,1.34,7.97,3.72,2.50,3.30,3.00
40626,25,2.08,0.55,2.21,0.37,5,0,0,1.71,1.23,9.88,3.08,1.26,6.15,14.00
25355,25,0.82,0.17,1.05,0.26,2,0,0,1.56,1.04,10.35,3.02,1.91,3.60,4.25
