,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attendance,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,result,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win
31848,10,1.50,0.75,1.42,1.11,1,1,2,0,1,0,1,1,0,1,1,1,19,10,8,4,11,6,17,5,64,36,1.27,1.30,6.75,6.25,2.20,3.35,3.40
21430,10,1.00,2.50,1.21,1.58,0,4,1,4,4,0,2,0,1,3,2,0,6,18,2,9,4,9,14,10,30,70,1.05,1.62,10.25,2.50,10.50,4.95,1.36
25718,10,0.25,2.25,1.05,1.32,2,2,2,4,1,0,2,0,1,0,0,2,15,6,4,3,11,3,10,16,42,58,1.48,1.65,11.00,3.50,4.85,4.20,1.71
74525,10,1.75,1.25,1.89,1.05,2,1,0,4,2,0,1,0,2,0,1,0,14,14,11,7,3,7,15,12,53,47,1.80,1.47,12.25,4.25,1.74,3.90,5.05
56854,10,2.00,2.00,2.00,2.32,0,1,1,6,2,0,2,0,1,1,0,2,5,9,2,7,3,2,13,13,48,52,1.94,1.70,13.58,3.00,5.35,4.25,1.65
10792,11,2.20,1.40,1.53,1.58,1,2,1,5,4,0,3,0,0,4,0,3,11,15,8,9,3,6,12,12,48,52,1.39,1.36,11.20,5.00,3.90,3.65,2.05
30877,11,0.80,1.20,1.05,1.32,0,1,1,12,2,0,2,0,1,1,1,1,11,10,3,6,8,4,13,12,40,60,1.37,1.36,10.00,3.60,3.40,3.30,2.35
38966,11,2.00,0.80,1.79,0.68,3,1,0,4,0,0,1,0,0,0,1,0,13,4,4,4,9,0,9,17,61,39,1.55,0.81,9.60,3.60,1.61,4.00,6.95
49157,11,0.00,1.75,1.32,1.21,1,0,0,9,1,0,5,0,0,1,1,4,7,12,3,2,4,10,12,11,41,59,1.14,1.32,10.90,2.50,2.80,3.25,2.80
56862,11,0.80,0.80,1.63,0.89,4,2,0,4,1,0,4,0,1,0,0,4,17,5,11,4,6,1,7,9,62,38,1.24,0.98,7.80,4.80,1.67,4.00,5.95
59993,11,2.40,2.60,2.37,2.32,1,1,2,8,1,0,1,0,0,1,0,1,10,10,5,5,5,5,7,7,61,39,1.55,1.52,9.80,3.20,4.00,3.95,1.95
31185,11,1.60,2.50,1.79,1.74,2,3,1,1,1,0,2,0,1,0,0,2,12,10,8,9,4,1,11,8,48,52,1.48,1.36,11.40,3.30,3.50,3.40,2.25
53916,11,3.00,0.80,2.84,0.84,6,1,0,4,1,0,1,0,1,0,1,0,14,12,9,7,5,5,14,9,67,33,2.61,1.24,13.60,2.60,1.13,10.75,23.25
40407,11,2.20,1.20,2.21,1.53,3,1,0,2,0,0,1,0,0,0,0,1,12,5,7,3,5,2,6,13,73,27,1.86,1.18,9.00,3.00,1.32,5.85,10.50
17082,11,0.20,0.20,0.47,0.26,1,0,0,4,1,0,2,0,0,1,1,1,9,5,3,2,6,3,11,8,45,55,1.10,1.03,6.20,3.20,2.40,3.35,3.30
29402,12,0.67,0.67,1.05,0.68,2,1,0,1,2,0,1,1,1,1,1,1,16,6,7,4,9,2,7,21,60,40,1.36,0.80,8.16,4.00,2.60,3.05,3.10
24069,12,0.67,0.80,0.47,1.11,1,1,2,6,1,0,1,0,1,0,1,0,15,10,8,6,7,4,9,8,43,57,1.13,1.27,7.40,4.33,3.35,3.30,2.35
32184,12,1.40,0.67,1.42,0.89,0,0,2,1,2,0,0,0,0,2,0,0,15,5,6,2,9,3,13,10,63,37,1.52,0.94,6.60,5.30,1.53,4.20,7.00
49266,12,0.50,1.80,1.32,0.84,2,1,0,10,2,0,1,0,1,1,0,1,15,10,7,5,8,5,9,11,39,61,1.11,1.44,12.67,2.20,3.00,3.35,2.50
28153,12,0.60,1.40,1.21,1.21,1,1,2,6,3,0,2,0,1,2,0,2,11,10,5,7,6,3,13,13,42,58,1.57,1.32,11.40,4.40,2.40,3.30,3.20
25685,12,0.40,2.57,1.05,1.74,0,1,1,6,1,0,1,0,1,0,0,1,11,9,6,3,5,6,12,9,35,65,1.51,1.39,11.23,3.37,4.85,3.95,1.74
53128,12,2.60,0.17,2.79,0.26,2,0,0,3,1,0,1,0,0,1,0,1,15,8,8,4,7,4,11,9,73,27,1.77,0.96,8.27,2.43,1.12,10.75,22.25
40345,12,2.33,1.00,2.21,1.05,0,0,2,5,4,0,3,0,3,1,2,1,12,5,5,2,7,3,7,11,68,32,1.85,1.51,11.20,2.87,1.40,5.15,8.25
60030,12,2.17,1.40,2.37,1.21,1,1,2,2,2,0,2,0,0,2,0,2,7,12,4,6,3,6,9,16,71,29,1.54,1.62,11.17,3.07,1.62,4.15,5.70
54316,12,3.00,1.67,2.84,1.58,3,1,0,1,1,0,1,0,1,0,1,0,12,3,6,2,6,1,12,12,64,36,2.52,1.46,13.83,3.50,1.40,5.20,8.00
30553,13,2.00,1.50,1.21,1.32,1,1,2,1,3,0,2,1,0,3,3,0,12,7,4,4,8,3,10,7,54,46,1.18,1.38,10.10,4.07,3.05,3.25,2.55
39139,13,2.17,0.20,1.79,0.74,1,0,0,3,0,0,3,0,0,0,1,2,14,6,9,2,5,4,12,13,70,30,1.57,1.03,9.73,2.17,1.43,4.65,8.25
24603,13,0.80,0.67,1.11,0.84,3,2,0,5,2,0,3,0,1,1,0,3,9,15,6,9,3,6,10,6,37,63,1.65,1.30,10.27,4.20,2.60,3.35,2.85
74516,13,2.00,1.00,1.89,1.53,0,0,2,3,1,0,2,0,0,1,2,0,10,12,6,3,4,9,13,12,59,41,1.83,1.11,9.50,3.80,1.42,4.85,8.25
20540,13,2.00,2.33,1.42,2.32,0,3,1,5,0,0,1,1,0,0,0,2,6,11,2,8,4,3,12,13,36,64,1.40,1.48,11.17,4.00,6.35,4.30,1.56
56886,13,1.17,2.20,1.63,2.32,0,4,1,1,0,0,0,0,0,0,0,0,7,9,2,7,5,2,6,3,30,70,1.43,1.66,13.63,4.33,12.50,6.35,1.26
55465,13,1.50,2.60,2.00,1.58,3,1,0,4,0,0,3,0,0,0,2,1,16,8,10,3,6,5,19,12,39,61,1.64,1.71,11.55,2.25,2.80,3.40,2.60
10792,13,1.83,2.00,1.53,1.32,1,2,1,8,2,0,1,0,0,2,1,0,8,16,6,5,2,11,6,9,41,59,1.43,1.50,9.83,3.93,3.65,3.80,2.00
30130,13,1.33,0.40,1.79,0.37,0,2,1,5,1,0,2,0,0,1,1,1,10,11,4,7,6,4,9,8,44,56,1.53,1.15,10.17,3.67,1.50,4.20,7.75
